row_id,stain_title,section,method_index,materials,steps,method_notes,method_cautions,intro_notes,top_cautions,source_archive_url,source_original_url,extra
1-1,Mustard,Washable Fabrics,1,,,"What you will need Heavy-duty liquid detergent Dilute solution of all-fabric powdered bleach Liquid chlorine bleach Commercial color remover Steps to Clean Pretreat the stain with heavy-duty liquid detergent. Rinse. Soak fabric in dilute solution of all-fabric powdered bleach. If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching. If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder. * Synthetic Fabrics are: Acetate, Acrylic, Polyester, Nylon, Olefin, Triacetate and anything labeled static-resistant, wrinkle-resistant, permanent-press, no-iron, stain-proof or moth-repellent",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Heavy-duty liquid detergent Dilute solution of all-fabric powdered bleach Liquid chlorine bleach Commercial color remover Steps to Clean Pretreat the stain with heavy-duty liquid detergent. Rinse. Soak fabric in dilute solution of all-fabric powdered bleach. If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching. If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder. * Synthetic Fabrics are: Acetate, Acrylic, Polyester, Nylon, Olefin, Triacetate and anything labeled static-resistant, wrinkle-resistant, permanent-press, no-iron, stain-proof or moth-repellent | Carpet What you will need Detergent Ammonia Steps to Clean Scrape off excess foreign material. Mix one tablespoon of liquid dishwashing detergent with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 3 and 4 until the stain disappears. If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous) Sponge the stain with the ammonia solution. Blot until the liquid is absorbed. Sponge with cold water and blot dry. Or Chemical solvents and supplies Detergent White vinegar Enzymeproduct Mix one (1) teaspoon liquid dishwashing detergent with one (1) cup lukewarm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. If the stain remains, mix 1/3 cup white vinegar with 2/3 cup of water. Apply using the clean white cloth, sponge the stain with solution. If the stain still remains, mix a solution of cool water and a product containing enzymes following direction on the label or box. (Some laundry detergents contain enzymes.) Cover the stain with a cloth drenched in the solution. Allow to remain on the stain the length of time recommended by the manufacturer. Rinse the area with clean water. Blot dry. Steps to Clean | Upholstery What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,
1-1,Mustard,Carpet,1,,,"What you will need Detergent Ammonia Steps to Clean Scrape off excess foreign material. Mix one tablespoon of liquid dishwashing detergent with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 3 and 4 until the stain disappears. If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous) Sponge the stain with the ammonia solution. Blot until the liquid is absorbed. Sponge with cold water and blot dry. Or Chemical solvents and supplies Detergent White vinegar Enzymeproduct Mix one (1) teaspoon liquid dishwashing detergent with one (1) cup lukewarm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. If the stain remains, mix 1/3 cup white vinegar with 2/3 cup of water. Apply using the clean white cloth, sponge the stain with solution. If the stain still remains, mix a solution of cool water and a product containing enzymes following direction on the label or box. (Some laundry detergents contain enzymes.) Cover the stain with a cloth drenched in the solution. Allow to remain on the stain the length of time recommended by the manufacturer. Rinse the area with clean water. Blot dry. Steps to Clean",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Heavy-duty liquid detergent Dilute solution of all-fabric powdered bleach Liquid chlorine bleach Commercial color remover Steps to Clean Pretreat the stain with heavy-duty liquid detergent. Rinse. Soak fabric in dilute solution of all-fabric powdered bleach. If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching. If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder. * Synthetic Fabrics are: Acetate, Acrylic, Polyester, Nylon, Olefin, Triacetate and anything labeled static-resistant, wrinkle-resistant, permanent-press, no-iron, stain-proof or moth-repellent | Carpet What you will need Detergent Ammonia Steps to Clean Scrape off excess foreign material. Mix one tablespoon of liquid dishwashing detergent with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 3 and 4 until the stain disappears. If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous) Sponge the stain with the ammonia solution. Blot until the liquid is absorbed. Sponge with cold water and blot dry. Or Chemical solvents and supplies Detergent White vinegar Enzymeproduct Mix one (1) teaspoon liquid dishwashing detergent with one (1) cup lukewarm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. If the stain remains, mix 1/3 cup white vinegar with 2/3 cup of water. Apply using the clean white cloth, sponge the stain with solution. If the stain still remains, mix a solution of cool water and a product containing enzymes following direction on the label or box. (Some laundry detergents contain enzymes.) Cover the stain with a cloth drenched in the solution. Allow to remain on the stain the length of time recommended by the manufacturer. Rinse the area with clean water. Blot dry. Steps to Clean | Upholstery What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,
1-1,Mustard,Upholstery,1,,,"What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Heavy-duty liquid detergent Dilute solution of all-fabric powdered bleach Liquid chlorine bleach Commercial color remover Steps to Clean Pretreat the stain with heavy-duty liquid detergent. Rinse. Soak fabric in dilute solution of all-fabric powdered bleach. If stain persists and garment is white or colorfast, soak entire garment in diluted solution of liquid chlorine bleach and water. Chlorine bleach may change the color of the garment or cause irreversible damage. Check for bleach tolerance on a hidden seam. If stain does not come out in 15 minutes of bleaching, if cannot be removed by bleaching. If bleaching is not safe or does not work, use a commercial color remover according to package directions. Note that color remover will take out the fabric color as well as the stain. Do not exceed 160 degrees Fahrenheit water with any synthetic fabrics*. Launder. * Synthetic Fabrics are: Acetate, Acrylic, Polyester, Nylon, Olefin, Triacetate and anything labeled static-resistant, wrinkle-resistant, permanent-press, no-iron, stain-proof or moth-repellent | Carpet What you will need Detergent Ammonia Steps to Clean Scrape off excess foreign material. Mix one tablespoon of liquid dishwashing detergent with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 3 and 4 until the stain disappears. If the stain remains, mix one tablespoon of ammonia with two cups of warm water. (Caution: Never mix chlorine bleach and ammonia – fumes are hazardous) Sponge the stain with the ammonia solution. Blot until the liquid is absorbed. Sponge with cold water and blot dry. Or Chemical solvents and supplies Detergent White vinegar Enzymeproduct Mix one (1) teaspoon liquid dishwashing detergent with one (1) cup lukewarm water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. If the stain remains, mix 1/3 cup white vinegar with 2/3 cup of water. Apply using the clean white cloth, sponge the stain with solution. If the stain still remains, mix a solution of cool water and a product containing enzymes following direction on the label or box. (Some laundry detergents contain enzymes.) Cover the stain with a cloth drenched in the solution. Allow to remain on the stain the length of time recommended by the manufacturer. Rinse the area with clean water. Blot dry. Steps to Clean | Upholstery What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=72,
2-1,Adhesive tape,Washable Fabrics,1,,,"What you will need Pretreatment laundry stain remover Heavy-duty liquid detergent Chlorine bleach or oxygen bleach Dry cleaning solvent Absorbent paper towels Special notes about solution Rub area with ice and scrape with side of dull knife. Proceed as above. Steps to Clean Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately. If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach. For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Pretreatment laundry stain remover Heavy-duty liquid detergent Chlorine bleach or oxygen bleach Dry cleaning solvent Absorbent paper towels Special notes about solution Rub area with ice and scrape with side of dull knife. Proceed as above. Steps to Clean Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately. If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach. For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=98,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=98,
3-1,After shave lotion,Washable Fabrics,1,,,"What you will need Blunt kitchen knife Liquid hand dishwashing Detergent Ammonia Enzyme product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Steps to Clean Scrape off excess material. Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia. Rub gently from back to loosen stain. Soak another 15 minutes in above mixture. Rinse. Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder. If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Blunt kitchen knife Liquid hand dishwashing Detergent Ammonia Enzyme product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Steps to Clean Scrape off excess material. Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia. Rub gently from back to loosen stain. Soak another 15 minutes in above mixture. Rinse. Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder. If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=1,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=1,
4-1,Airplane glue,Washable Fabrics,1,,,"What you will need Pretreatment laundry stain remover Heavy-duty liquid detergent Chlorine bleach or oxygen bleach Dry cleaning solvent Absorbent paper towels Steps to Clean Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately. If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach. For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Pretreatment laundry stain remover Heavy-duty liquid detergent Chlorine bleach or oxygen bleach Dry cleaning solvent Absorbent paper towels Steps to Clean Saturate area with pretreatment laundry stain remover (aerosol types work better on greasy stains) Wait one minute for product to penetrate the stain. For stubborn stains, rub with heavy-duty liquid detergent. Launder immediately. If color stain remains, soak/wash in chlorine bleach if safe for fabric, or in oxygen bleach. For extra heavy stains, apply dry cleaning solvent to back of the stain over absorbent paper towels. Let dry, rinse. Proceed as above.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=118,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=118,
5-1,Alcoholic beverages,Washable Fabrics,1,,,"What you will need Liquid hand dishwashing detergent White vinegar Rubbing alcohol Enzyme presoak product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Steps to Clean Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse. Sponge with rubbing alcohol, using light motions from center to edge of stain. Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products. If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Liquid hand dishwashing detergent White vinegar Rubbing alcohol Enzyme presoak product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Steps to Clean Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse. Sponge with rubbing alcohol, using light motions from center to edge of stain. Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products. If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach. | Upholstery What you will need White vinegar Rubbing alcohol Steps to Clean Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol. Using a clean white cloth, sponge the stain with the vinegar/alcohol solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Or What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=32,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=32,
5-1,Alcoholic beverages,Upholstery,1,,,"What you will need White vinegar Rubbing alcohol Steps to Clean Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol. Using a clean white cloth, sponge the stain with the vinegar/alcohol solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Or What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Liquid hand dishwashing detergent White vinegar Rubbing alcohol Enzyme presoak product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Steps to Clean Soak for 15 minutes in mixture of one quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon white vinegar. Rinse. Sponge with rubbing alcohol, using light motions from center to edge of stain. Soak for 30 minutes in one quart warm water with one tablespoon enzyme presoak products. If color stain remains, launder in chlorine bleach if safe for the fabric, or in oxygen bleach. | Upholstery What you will need White vinegar Rubbing alcohol Steps to Clean Mix one tablespoon of white vinegar with 2/3 cup of rubbing alcohol. Using a clean white cloth, sponge the stain with the vinegar/alcohol solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Or What you will need Detergent Steps to Clean Mix one (1) tablespoon of liquid dishwashing detergent with two (2) cups of cool water. Using a clean white cloth, sponge the stain with the detergent solution. Blot until the liquid is absorbed. Repeat Steps 2 and 3 until the stain disappears. Sponge with cold water and blot dry to remove the detergent solution.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=32,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=32,
6-1,Antiperspirant,Washable Fabrics,1,,,"What you will need Blunt kitchen knife Liquid hand dishwashing Detergent Ammonia Enzyme product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Special notes about solution Pretreat by rubbing in undiluted liquid hand dishwashing detergent. Launder in hottest water safe for the fabric. Steps to Clean Scrape off excess material. Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia. Rub gently from back to loosen stain. Soak another 15 minutes in above mixture. Rinse. Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder. If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Blunt kitchen knife Liquid hand dishwashing Detergent Ammonia Enzyme product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Special notes about solution Pretreat by rubbing in undiluted liquid hand dishwashing detergent. Launder in hottest water safe for the fabric. Steps to Clean Scrape off excess material. Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia. Rub gently from back to loosen stain. Soak another 15 minutes in above mixture. Rinse. Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder. If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach. | Carpet What you will need Detergent White vinegar Rubbing alcohol Steps to Clean Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent/ammonia solution. Blot until the liquid is absorbed. If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with the detergent/vinegar solution. Blot until the liquid is absorbed. If the stain remains, sponge the stain with rubbing alcohol. Blot until the liquid is absorbed. Sponge with cold water and blot dry.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=2,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=2,
6-1,Antiperspirant,Carpet,1,,,"What you will need Detergent White vinegar Rubbing alcohol Steps to Clean Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent/ammonia solution. Blot until the liquid is absorbed. If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with the detergent/vinegar solution. Blot until the liquid is absorbed. If the stain remains, sponge the stain with rubbing alcohol. Blot until the liquid is absorbed. Sponge with cold water and blot dry.",,"Treat stains as soon as possible after staining. The older the stain, the more difficult it will be to remove. | All stain removal methods should be applied prior to laundering washable garments. Stains that have been laundered and dried are almost impossible to remove. | Washable Fabrics What you will need Blunt kitchen knife Liquid hand dishwashing Detergent Ammonia Enzyme product Chlorine bleach or oxygen bleach Caution: Never mix chlorine bleach with ammonia - fumes are hazardous. Special notes about solution Pretreat by rubbing in undiluted liquid hand dishwashing detergent. Launder in hottest water safe for the fabric. Steps to Clean Scrape off excess material. Soak for 15 minutes in mixture of 1 quart lukewarm water, one-half teaspoon liquid hand dishwashing detergent and one tablespoon ammonia. Rub gently from back to loosen stain. Soak another 15 minutes in above mixture. Rinse. Soak protein stain in enzyme product for at least 30 minutes. Soak aged stains for several hours. Launder. If color stain remains, launder, using chlorine bleach if safe for fabric, or with oxygen bleach. | Carpet What you will need Detergent White vinegar Rubbing alcohol Steps to Clean Mix one teaspoon of liquid dishwashing detergent and one tablespoon of ammonia with two cups of warm water. Using a clean white cloth, sponge the stain with the detergent/ammonia solution. Blot until the liquid is absorbed. If the stain remains, mix one tablespoon of liquid dishwashing detergent and one tablespoon of white vinegar with two cups of warm water. Sponge the stain with the detergent/vinegar solution. Blot until the liquid is absorbed. If the stain remains, sponge the stain with rubbing alcohol. Blot until the liquid is absorbed. Sponge with cold water and blot dry.",,https://web.archive.org/web/20201127204719/https://web.extension.illinois.edu/stain/staindetail.cfm?ID=2,https://web.extension.illinois.edu/stain/staindetail.cfm?ID=2,
